,C1_corr,C1_pval,C1_qval,C1_ci_low,C1_ci_high,C5_1_corr,C5_1_pval,C5_1_qval,C5_1_ci_low,C5_1_ci_high
PF3D7_1461700,0.39747491660212725,3.530773378688727e-177,7.875978483394987e-176,0.3727356752654021,0.42164952476534445,-0.39744883008351867,3.746827890101455e-177,8.357924080186313e-176,-0.4216240517159785,-0.3727089984399847
PF3D7_0109100,0.3957731855884301,1.6796563031042967e-175,3.730174772247993e-174,0.3709955217796122,0.4199877329297104,-0.3957475052008761,1.780125900834152e-175,3.953297299241862e-174,-0.41996265401029537,-0.37096926290107823
PF3D7_1128300,0.39486629845682264,1.3023766616127975e-174,2.8795720108522602e-173,0.3700682296010435,0.4191020638680166,-0.39483678269737704,1.3919896325871893e-174,3.0777074739890322e-173,-0.41907323790179646,-0.37003805056445427
PF3D7_0912200,0.3944370455467897,3.425385274822345e-174,7.540354690497082e-173,0.36962933568847217,0.4186828379311929,-0.3943962076593636,3.7551654175173677e-174,8.266304925666521e-173,-0.41864295344282015,-0.36958758116044915
PF3D7_1027900,0.39442335913787024,3.5325537625576308e-174,7.742308879596834e-173,0.3696153420654759,0.41866947105483726,-0.394384994182924,3.851140288289806e-174,8.440555941889318e-173,-0.41863200173921133,-0.3695761160056687
PF3D7_1476700,0.39408471509248816,7.566860742797273e-174,1.6512206116565006e-172,0.36926910017851333,0.4183387298864596,-0.394048591277053,8.206931110242442e-174,1.790895097491601e-172,-0.4183034487065525,-0.3692321662932638
PF3D7_1426500,0.39402880004796703,8.580241002495747e-174,1.8642523632695304e-172,0.3692119312828015,0.4182841191028932,-0.39399557229942855,9.245505435708345e-174,2.0087961810311765e-172,-0.41825166633380423,-0.36917795851693014
PF3D7_1109100,0.39334605707805936,3.9724653993393806e-173,8.593880965208772e-172,0.3685138934828622,0.4176172874891826,-0.39329828325494764,4.421478991308431e-173,9.524207320762668e-172,-0.417570626058458,-0.3684650504772525
PF3D7_1435200,0.3932769946560458,4.637555850992281e-173,9.946962741936009e-172,0.36844328548173333,0.41754983311395294,-0.39324550332279323,4.976668129034476e-173,1.0674315102403434e-171,-0.4175190749348876,-0.3684110894848269
PF3D7_0530800,0.3930074415321931,8.48240664359036e-173,1.8116254869863838e-171,0.3681677026482598,0.41728655369483575,-0.39297351291413224,9.151811403195095e-173,1.9545932524526032e-171,-0.4172534144584267,-0.36813301538065624
PF3D7_1457100,0.3920661038494377,6.953365131133884e-172,1.4725290967578465e-170,0.36720534215209655,0.41636709317386994,-0.3920338767519384,7.471670919075449e-172,1.5822918288118007e-170,-0.41633561417034726,-0.3671723962718757
PF3D7_1006300,0.39132151847549534,3.6526334095159784e-171,7.63856961765029e-170,0.36644416571641797,0.41563977712971756,-0.39128605946799216,3.9524227802253194e-171,8.265504139146198e-170,-0.415605139754813,-0.3664079174319132
PF3D7_0210600,0.3906915838673229,1.4808467751481415e-170,3.071227258044844e-169,0.36580022072875285,0.41502442844395454,-0.3906659160544075,1.5676518790059228e-170,3.251258173855672e-169,-0.4149993544885083,-0.3657739825431686
PF3D7_0719100,0.38997709458048824,7.215464774598521e-170,1.4841974468733598e-168,0.36506986932538527,0.41432645596863527,-0.3899466916051073,7.71771106152734e-170,1.5875078613854805e-168,-0.414296755181937,-0.3650387920646292
PF3D7_0518800,0.3878259037073424,8.275379202370758e-168,1.674763234544308e-166,0.36287110573854264,0.4122248211167799,-0.38777935885775455,9.16567672350929e-168,1.8549407852940778e-166,-0.4121793456300278,-0.36282353463955697
PF3D7_0304100,0.38696728420118676,5.434431089078395e-167,1.0910163854433786e-165,0.36199357579432545,0.4113859087352754,-0.3869386631868846,5.785678187141538e-167,1.161532752850535e-165,-0.41135794392093744,-0.36196432518635924
PF3D7_1429300,0.38362646171093107,7.767879729576526e-164,1.5349208016828576e-162,0.3585795953544977,0.4081213714443728,-0.3836115557071964,8.022149421845232e-164,1.5851640924504418e-162,-0.4081068044042801,-0.3585643644375587
PF3D7_0630200,0.38359372308266876,8.337280126614635e-164,1.6409729002148568e-162,0.3585461431244107,0.4080893772785835,-0.38355643189469857,9.036781186441533e-164,1.778651167637257e-162,-0.4080529340030549,-0.3585080391811266
PF3D7_0913800,0.38304418448209904,2.72986986213095e-163,5.352037827357514e-162,0.3579846358677785,0.4075523259702038,-0.38301159630525566,2.9285672836559504e-163,5.741593436198912e-162,-0.40752047776951306,-0.35795133850718597
PF3D7_1451600,0.38260645374923313,7.009502378371026e-163,1.3635927301179916e-161,0.3575373845623896,0.4071245297628951,-0.3825748586717378,7.50276846928353e-163,1.4595501917571335e-161,-0.4070936513357918,-0.357505102742032
PF3D7_1361300,0.38114136423599265,1.627421178236633e-161,3.1536783372855833e-160,0.3560405132394827,0.4056926129552327,-0.3811062166013898,1.7545780682430976e-161,3.400087770081894e-160,-0.405658259656628,-0.3560046047383932
PF3D7_1421800,0.3809739036759379,2.3287869812460046e-161,4.478230597269616e-160,0.3558694282032924,0.40552893637918214,-0.3809338615175694,2.5370460949295278e-161,4.878710479100115e-160,-0.4054897987909579,-0.35582851963135237
